날짜,종가,시가,고가,저가,거래량,변동률,RSI_14,MACD,신호선,MA5,MA20,MA60
2025-09-01,"3,142.93","3,164.58","3,177.40","3,135.02",260.14M,-1.35%,32.24357133138824,-133.02631930515963,-127.8181842625446,3181.13,3345.0284999999994,3703.0473333333334
2025-08-29,"3,186.01","3,208.80","3,212.69","3,184.48",245.13M,-0.32%,32.24357133138824,-129.0587085518132,-128.06628912039832,3177.308,3335.0265,3689.699
2025-08-28,"3,196.32","3,175.33","3,211.34","3,164.08",312.19M,0.29%,32.24357133138824,-123.65697695244762,-127.1844266868082,3176.406,3321.2870000000003,3676.9565
2025-08-27,"3,187.16","3,185.87","3,189.31","3,165.77",281.72M,0.25%,32.24357133138824,-118.74636698767426,-125.49681474698141,3176.954,3307.0380000000005,3665.7794999999996
2025-08-26,"3,179.36","3,199.92","3,199.92","3,175.31",325.35M,-0.95%,32.24357133138824,-114.1680102689752,-123.23105385138018,3178.356,3291.6965000000005,3654.6678333333334
2025-08-25,"3,209.86","3,195.14","3,209.86","3,180.12",220.16M,1.30%,32.24357133138824,-106.84687027262771,-119.9542171356297,3191.7419999999997,3278.757,3643.9444999999996
2025-08-22,"3,168.73","3,165.41","3,181.95","3,159.45",236.80M,0.86%,32.24357133138824,-103.1743318678241,-116.59824008206859,3188.286,3264.9315,3630.009166666667
2025-08-21,"3,141.74","3,140.71","3,166.54","3,134.86",276.92M,0.37%,32.24357133138824,-101.27425953508282,-113.53344397267145,3177.37,3248.9535,3616.8796666666667
2025-08-20,"3,130.09","3,121.52","3,132.83","3,079.27",335.28M,-0.68%,32.24357133138824,-99.560820989087,-110.73891937595457,3165.956,3234.7879999999996,3603.1541666666667
2025-08-19,"3,151.56","3,185.04","3,185.48","3,142.48",285.29M,-0.81%,32.24357133138824,-95.37108057853129,-107.66535161646992,3160.3959999999997,3219.885,3587.526
2025-08-18,"3,177.28","3,202.63","3,206.77","3,177.28",326.13M,-1.50%,32.24357133138824,-88.94993261494983,-103.9222678161659,3153.88,3208.3835,3573.6211666666663
2025-08-14,"3,225.66","3,226.52","3,239.55","3,210.83",441.47M,0.04%,32.24357133138824,-79.04607101824149,-98.94702845658102,3165.266,3199.8895,3557.8716666666664
2025-08-13,"3,224.37","3,225.40","3,226.37","3,192.17",320.07M,1.08%,32.24357133138824,-70.48873135109716,-93.25536903548425,3181.792,3193.898,3542.4380000000006
2025-08-12,"3,189.91","3,209.75","3,242.17","3,189.58",373.22M,-0.53%,32.24357133138824,-65.7299184340909,-87.75027891520558,3193.756,3187.6670000000004,3527.163333333333
2025-08-11,"3,206.77","3,220.72","3,223.23","3,199.90",304.97M,-0.10%,32.24357133138824,-59.907487591033714,-82.1817206503712,3204.798,3185.0029999999997,3512.722166666667
2025-08-08,"3,210.01","3,220.58","3,227.28","3,198.31",341.44M,-0.55%,32.24357133138824,-54.40458607478058,-76.62629373525309,3211.344,3184.5240000000003,3500.326333333333
2025-08-07,"3,227.68","3,214.81","3,227.68","3,200.28",327.05M,0.92%,32.24357133138824,-48.06362806546804,-70.91376060129608,3211.748,3185.652,3487.0135
2025-08-06,"3,198.14","3,182.06","3,200.15","3,176.61",327.36M,0.00%,32.24357133138824,-44.90437460443445,-65.71188340192376,3206.502,3185.5175,3473.5755
2025-08-05,"3,198.00","3,187.15","3,212.31","3,174.23",273.44M,1.60%,32.24357133138824,-41.92861335029738,-60.955229391598486,3208.12,3186.1965,3458.1798333333336
2025-08-04,"3,147.75","3,114.27","3,157.45","3,105.63",293.45M,0.91%,32.24357133138824,-43.127904523263624,-57.38976441793152,3196.316,3184.9665,3440.277833333333
2025-08-01,"3,119.41","3,210.32","3,210.32","3,117.92",507.78M,-3.88%,32.24357133138824,-45.836774763926314,-55.07916648713048,3178.196,3183.7905,3423.8096666666665
2025-07-31,"3,245.44","3,275.78","3,288.26","3,227.46",540.32M,-0.28%,32.24357133138824,-37.38307737682271,-51.539948665068934,3181.748,3186.7619999999997,3409.7855
2025-07-30,"3,254.47","3,233.31","3,269.40","3,227.28",338.07M,0.74%,32.24357133138824,-29.613450337048107,-47.15464899946477,3193.014,3189.6695,3396.0075
