날짜,종가,시가,고가,저가,거래량,변동률,RSI_14,MACD,신호선,MA5,MA20,MA60
2025-03-19,"2,628.62","2,613.48","2,642.83","2,613.48",653.33M,0.62%,32.24357133138824,26.882203808139366,1.9518995214697652,2631.346,2509.675,2604.076
2025-03-18,"2,612.34","2,627.27","2,638.56","2,606.91",555.53M,0.06%,32.24357133138824,27.226322458604955,7.006784108896803,2630.652,2516.4215,2598.4433333333336
2025-03-17,"2,610.69","2,588.32","2,610.69","2,587.52",396.57M,1.73%,32.24357133138824,27.054035675253544,11.016234422168154,2626.3759999999997,2524.1615,2592.8438333333334
2025-03-14,"2,566.36","2,565.18","2,576.74","2,559.24",362.33M,-0.28%,32.24357133138824,23.07444875752526,13.427877289239575,2611.022,2530.8435,2587.3728333333333
2025-03-13,"2,573.64","2,598.06","2,600.07","2,561.02",427.29M,-0.05%,32.24357133138824,20.274322838990884,14.797166399189837,2598.33,2537.2725,2581.599666666667
2025-03-12,"2,574.82","2,552.60","2,579.69","2,541.66",401.64M,1.47%,32.24357133138824,17.943576631148062,15.426448445581483,2587.57,2551.3285,2576.0626666666667
2025-03-11,"2,537.60","2,516.69","2,547.88","2,505.91",399.02M,-1.28%,32.24357133138824,12.943891406984676,14.929937037862123,2572.6220000000003,2561.4970000000003,2570.4918333333335
2025-03-10,"2,570.39","2,555.40","2,579.76","2,549.99",435.70M,0.27%,32.24357133138824,11.494976870594655,14.24294500440863,2564.562,2573.6065,2565.7355000000002
2025-03-07,"2,563.48","2,553.44","2,575.48","2,541.49",567.19M,-0.49%,32.24357133138824,9.677565460367987,13.329869095600502,2563.986,2578.5095,2561.5926666666664
2025-03-06,"2,576.16","2,573.55","2,583.65","2,565.57",609.62M,0.70%,32.24357133138824,9.154891957080508,12.494873667896504,2564.4900000000002,2582.9825,2558.348
2025-03-05,"2,558.13","2,548.45","2,561.47","2,535.18",569.41M,1.16%,32.24357133138824,7.202770073227839,11.43645294896277,2561.152,2585.596,2556.0006666666663
2025-03-04,"2,528.92","2,522.20","2,548.78","2,513.31",484.08M,-0.15%,32.24357133138824,3.261104550856089,9.801383269341436,2559.416,2585.9725000000003,2553.188166666667
2025-02-28,"2,532.78","2,585.61","2,586.78","2,531.24",588.57M,-3.39%,32.24357133138824,0.4436617108117389,7.929838957635496,2551.8940000000002,2588.5555,2550.0571666666665
2025-02-27,"2,621.75","2,637.63","2,638.47","2,610.47",513.91M,-0.73%,32.24357133138824,5.328529437718771,7.409577053652152,2563.5480000000002,2591.744,2549.2505
2025-02-26,"2,641.09","2,629.86","2,648.06","2,620.16",386.76M,0.41%,32.24357133138824,10.637773047829342,8.05521625248759,2576.5340000000006,2593.441,2549.315
2025-02-25,"2,630.29","2,617.64","2,641.49","2,617.12",410.28M,-0.57%,32.24357133138824,13.81467020050377,9.207107042090826,2590.966,2592.7585,2549.0798333333337
2025-02-24,"2,645.27","2,636.12","2,645.27","2,626.88",536.35M,-0.35%,32.24357133138824,17.341245802166668,10.833934794105994,2614.236,2594.2315000000003,2549.9661666666666
2025-02-21,"2,654.58","2,653.76","2,656.04","2,638.44",444.70M,0.02%,32.24357133138824,20.649289412561302,12.797005717797056,2638.596,2595.357,2550.9813333333336
2025-02-20,"2,654.06","2,661.72","2,667.59","2,645.53",529.30M,-0.65%,32.24357133138824,22.964260453041334,14.830456664845912,2645.058,2595.9035,2551.456
2025-02-19,"2,671.52","2,633.91","2,680.70","2,633.91",525.80M,1.70%,32.24357133138824,25.90910374170153,17.046186080217037,2651.144,2597.6245,2552.618
2025-02-18,"2,626.81","2,613.25","2,628.47","2,605.15",421.99M,0.63%,32.24357133138824,24.35444701638744,18.50783826745112,2650.448,2597.534,2553.0078333333336
2025-02-17,"2,610.42","2,595.99","2,612.80","2,592.57",366.34M,0.75%,32.24357133138824,21.551403177279553,19.11655124941681,2643.478,2597.438,2552.733666666667
2025-02-14,"2,591.05","2,588.20","2,600.57","2,582.84",499.36M,0.31%,32.24357133138824,17.56450098792402,18.80614119711825,2630.772,2596.4559999999997,2552.2284999999997
2025-02-13,"2,583.17","2,558.95","2,583.74","2,555.98",680.34M,1.36%,32.24357133138824,13.612090429449836,17.76733104358457,2616.594,2597.2965,2551.2718333333332
2025-02-12,"2,548.39","2,534.71","2,549.58","2,528.74",464.89M,0.37%,32.24357133138824,7.585875998400752,15.731040034547807,2591.968,2596.034,2550.271333333333
2025-02-11,"2,539.05","2,532.87","2,549.44","2,527.74",451.09M,0.71%,32.24357133138824,2.03296297124416,12.991424621887077,2574.416,2594.2455,2549.133333333333
2025-02-10,"2,521.27","2,510.64","2,527.33","2,499.18",393.56M,-0.03%,32.24357133138824,-3.7591251608164384,9.641314665346375,2556.5860000000002,2593.429,2548.2
2025-02-07,"2,521.92","2,532.09","2,537.63","2,519.01",419.87M,-0.58%,32.24357133138824,-8.202395063019594,6.072572719673182,2542.7599999999998,2591.0055,2547.2406666666666
2025-02-06,"2,536.75","2,521.82","2,536.75","2,515.34",479.70M,1.10%,32.24357133138824,-10.407094900209813,2.7766391956965824,2533.4759999999997,2589.669,2546.6231666666667
2025-02-05,"2,509.27","2,503.94","2,514.71","2,498.74",437.34M,1.11%,32.24357133138824,-14.207961212535793,-0.6202808859498927,2525.652,2586.3245,2545.7811666666666
2025-02-04,"2,481.69","2,481.44","2,508.35","2,471.63",479.38M,1.13%,32.24357133138824,-19.224047796693867,-4.341034268098688,2514.18,2582.5024999999996,2544.5325000000003
2025-02-03,"2,453.95","2,468.74","2,468.74","2,437.61",522.85M,-2.52%,32.24357133138824,-25.14783018830849,-8.502393452140648,2500.716,2578.754,2542.6746666666663
2025-01-31,"2,517.37","2,534.33","2,537.98","2,496.95",454.40M,-0.77%,32.24357133138824,-24.443239980162616,-11.690562757745042,2499.806,2577.9835,2542.149833333334
2025-01-24,"2,536.80","2,529.29","2,542.83","2,522.64",602.01M,0.85%,32.24357133138824,-22.062683663465577,-13.764986938889148,2499.816,2573.736,2541.9914999999996
2025-01-23,"2,515.49","2,541.24","2,541.60","2,515.49",609.74M,-1.24%,32.24357133138824,-21.646091863620313,-15.341207923835384,2501.06,2567.456,2541.8775
2025-01-22,"2,547.06","2,535.80","2,552.57","2,526.89",583.74M,1.15%,32.24357133138824,-18.554618608885903,-15.98389006084549,2514.1339999999996,2563.2945,2542.235833333333
2025-01-21,"2,518.03","2,533.23","2,548.44","2,507.95",572.01M,-0.08%,32.24357133138824,-18.236859009206,-16.43448385051759,2526.95,2556.9325,2542.7589999999996
2025-01-20,"2,520.05","2,533.68","2,536.72","2,516.28",437.55M,-0.14%,32.24357133138824,-17.618935003653405,-16.671374081144755,2527.486,2550.206,2543.2861666666668
2025-01-17,"2,523.55","2,520.85","2,528.48","2,513.84",445.88M,-0.16%,32.24357133138824,-16.654818645985415,-16.668062994112887,2524.8360000000002,2543.6805,2543.955
2025-01-16,"2,527.49","2,528.27","2,534.01","2,519.86",451.06M,1.23%,32.24357133138824,-15.395356329909646,-16.41352166127224,2527.236,2536.4790000000003,2544.9063333333334
2025-01-15,"2,496.81","2,511.07","2,524.36","2,493.10",538.53M,-0.02%,32.24357133138824,-16.680559856290074,-16.466929300275808,2517.186,2529.979,2545.7293333333337
2025-01-14,"2,497.40","2,501.49","2,504.89","2,482.74",414.49M,0.31%,32.24357133138824,-17.450328318767333,-16.663609103974114,2513.0600000000004,2524.328,2546.0625
2025-01-13,"2,489.56","2,508.15","2,513.93","2,483.73",578.56M,-1.04%,32.24357133138824,-18.479972233029457,-17.026881729785185,2506.962,2519.2535000000003,2546.623666666667
2025-01-10,"2,515.78","2,528.42","2,535.24","2,506.29",377.59M,-0.24%,32.24357133138824,-16.984451399667705,-17.01839566376169,2505.4080000000004,2515.884,2548.0080000000003
2025-01-09,"2,521.90","2,526.10","2,535.87","2,515.82",404.29M,0.03%,32.24357133138824,-15.13098691313462,-16.64091391363628,2504.29,2514.5595000000003,2549.288666666667
2025-01-08,"2,521.05","2,481.25","2,526.77","2,481.25",362.91M,1.16%,32.24357133138824,-13.574215740915406,-16.027574279092104,2509.138,2513.6595,2553.0778333333337
2025-01-07,"2,492.10","2,513.49","2,521.86","2,492.09",407.69M,0.14%,32.24357133138824,-14.509233019194198,-15.723906027112523,2508.078,2512.201,2555.709
2025-01-06,"2,488.64","2,453.30","2,489.10","2,446.82",302.76M,1.91%,32.24357133138824,-15.352460425034678,-15.649616906696956,2507.8940000000002,2510.537,2558.3830000000003
2025-01-03,"2,441.92","2,402.58","2,454.67","2,402.58",407.54M,1.79%,32.24357133138824,-19.56510343046466,-16.4327142114505,2493.1220000000003,2505.7955,2557.991333333333
2025-01-02,"2,398.94","2,400.87","2,410.99","2,386.84",350.69M,-0.02%,32.24357133138824,-26.071247056594075,-18.360420780479213,2468.5299999999997,2500.2789999999995,2556.5286666666666
